geral; gerador; descriminador 
0.2277; 0.9295; 1.4735 
0.2309; 0.9296; 1.4902 
0.2316; 0.9304; 1.4916 
0.2328; 0.9314; 1.4826 
0.2356; 0.9310; 1.4819 
0.2363; 0.9312; 1.4903 
0.2375; 0.9313; 1.4858 
0.2367; 0.9317; 1.4809 
0.2375; 0.9317; 1.4878 
0.2330; 0.9315; 1.4967 
0.2372; 0.9317; 1.4926 
0.2366; 0.9316; 1.4976 
0.2340; 0.9315; 1.4924 
0.2315; 0.9312; 1.4884 
0.2376; 0.9308; 1.4867 
0.2420; 0.9305; 1.4933 
0.2379; 0.9315; 1.4761 
0.2388; 0.9321; 1.4784 
0.2363; 0.9318; 1.4770 
0.2370; 0.9314; 1.4699 
0.2333; 0.9320; 1.4729 
0.2341; 0.9312; 1.4666 
0.2355; 0.9311; 1.4659 
0.2361; 0.9314; 1.4606 
0.2365; 0.9311; 1.4612 
0.2364; 0.9304; 1.4633 
0.2360; 0.9310; 1.4629 
0.2340; 0.9312; 1.4670 
0.2343; 0.9306; 1.4692 
0.2381; 0.9305; 1.4686 
0.2369; 0.9307; 1.4697 
0.2994; 0.9312; 1.4250 
0.3028; 0.9318; 1.3229 
0.3002; 0.9316; 1.3756 
0.2462; 0.9314; 1.3348 
0.2377; 0.9315; 1.3661 
0.2674; 0.9315; 1.3970 
0.2712; 0.9313; 1.3669 
0.2541; 0.9305; 1.4742 
0.2550; 0.9298; 1.4803 
0.2478; 0.9303; 1.4534 
0.2427; 0.9299; 1.4242 
0.2478; 0.9296; 1.4121 
0.2419; 0.9296; 1.4047 
0.2376; 0.9298; 1.4172 
0.2374; 0.9297; 1.4322 
0.2532; 0.9294; 1.4437 
0.2522; 0.9293; 1.4327 
0.2467; 0.9287; 1.4455 
0.2427; 0.9284; 1.4389 
0.2424; 0.9287; 1.4303 
0.2436; 0.9285; 1.4278 
0.2348; 0.9280; 1.4553 
0.2361; 0.9278; 1.4486 
0.2354; 0.9274; 1.4468 
0.2336; 0.9279; 1.4626 
0.2297; 0.9287; 1.4726 
0.2392; 0.9287; 1.4772 
0.2425; 0.9287; 1.4651 
0.2449; 0.9280; 1.4678 
0.2449; 0.9275; 1.4691 
0.2442; 0.9272; 1.4678 
0.2443; 0.9273; 1.4653 
0.2452; 0.9271; 1.4632 
0.2489; 0.9272; 1.4568 
0.2476; 0.9274; 1.4516 
0.2461; 0.9273; 1.4529 
0.2420; 0.9272; 1.4452 
0.2426; 0.9277; 1.4483 
0.2417; 0.9273; 1.4497 
0.2364; 0.9293; 1.4603 
0.2392; 0.9289; 1.4591 
0.2384; 0.9285; 1.4634 
0.2384; 0.9289; 1.4648 
0.2375; 0.9284; 1.4658 
0.2379; 0.9277; 1.4737 
0.2393; 0.9275; 1.4741 
0.2394; 0.9281; 1.4716 
0.2422; 0.9282; 1.4689 
0.2417; 0.9276; 1.4670 
0.2402; 0.9270; 1.4684 
0.1956; 0.9270; 1.3764 
0.3151; 0.9271; 1.4510 
0.2992; 0.9272; 1.5079 
0.2644; 0.9274; 1.4661 
0.2435; 0.9276; 1.4090 
0.2525; 0.9270; 1.4398 
0.2668; 0.9274; 1.5130 
0.2378; 0.9262; 1.5255 
0.2502; 0.9261; 1.5283 
0.2471; 0.9262; 1.5077 
0.2395; 0.9266; 1.5274 
0.2264; 0.9264; 1.5308 
0.2432; 0.9259; 1.5313 
